prime,valence,real,nonreal
brood,threat,pon_er,d
twisted,benign,rop_,e
hang,threat,de_d,a
plot,benign,p_ay,l
arms,threat,rac_,e
sentence,benign,wor_s,d
execute,threat,sh_ot,o
retreat,benign,sanc_uary,t
arresting,threat,poli_eman,c
frame,benign,ph_to,o
revolution,threat,w_r,a
stalk,benign,fl_wer,o
booking,threat,pol_ce,i
fiddle ,benign,instr_ment,u
forge,threat,signa_ure,t
stole,benign,m_nk,i
sack,threat,jo_,b
warp,benign,be_d,n
odd,threat,st_ange,r
simple,benign,e_sy,a
warped,threat,bia_ed,s
choke,benign,engi_e,n
hiding,threat,hur_,t
stunning,benign,attra_tive,c
chop,threat,k_ife,n
drop,benign,_ain,r
break,threat,sn_p,a
pelt,benign,sk_n,i
tank,threat,a_my,r
beat,benign,_hythm,r
throttle,threat,ki_l,l
cane,benign,bam_oo,b
bind,threat,hol_,d
crush,benign,or_nge,a
box,threat,e_rs,a
hit,benign,cha_t,r
bow,threat,arche_y,r
gag,benign,j_ke,o
clobber,threat,th_mp,u
blow,benign,dr_,y
smashing,threat,gla_s,s
lash,benign,ey_,e
striking,threat,hi_ting,t
whip,benign,c_eam,r
butcher,threat,blo_d,o
ram,benign,sh_ep,e
bit,threat,te_th,e
batter,benign,f_sh,i
bark,threat,b_te,i
punch,benign,pupp_t,e
club,threat,st_ck,i
stroke,benign,ca_ess,r
corn,threat,plas_er,t
strain,benign,siev_,e
infectious,threat,epide_ic,m
slip,benign,pett_coat,i
fit,threat,illn_ss,e
grub,benign,f_od,o
wake,threat,dea_h,t
body,benign,sh_pe,a
critical,threat,hos_ital,p
terminal,benign,airp_rt,o
fell,threat,o_er,v
patient,benign,k_nd,i
trip,threat,fa_l,l
graze,benign,h_rses,o
strained,threat,mus_le,c
sink,benign,ki_chen,t
crank,threat,ecce_tric,n
parting,benign,cen_re,t
stern,threat,an_ry,g
leaves,benign,au_umn,t
lie,threat,fal_e,s
nag,benign,do_key,n
incense,threat,a_noy,n
stamp,benign,let_er,t
badger,threat,har_ss,a
jam,benign,j_r,a
maroon,threat,isla_d,n
hamper,benign,pi_nic,c
lock,neutral,k_y,e
wit,neutral,h_mour,u
margin,neutral,pag_,e
search,neutral,fi_d,n
total,neutral,su_,m
voltage,neutral,cur_ent,r
pen,neutral,in_,k
quick,neutral,fas_,t
solar,neutral,su_,n
actor,neutral,act_ess,r
jacket,neutral,co_t,a
nearby,neutral,clo_e,s
wagon,neutral,wh_el,e
library,neutral,boo_s,k
quarter,neutral,ha_f,l
bathe,neutral,swi_,m
fragment,neutral,pi_ce,e
acquaint,neutral,kno_,w
butter,neutral,bre_d,a
grass,neutral,gre_n,e
